,,,,,,,
,,,,,,,
Customer_Segment,COUNTA of Customer Id,AVERAGE of SUM of Total_Value,AVERAGE of M_Score,SUM of SUM of Total_Value,,,
At Risk,220,71.31,3.354545455,"15,687.64",,,
Champion,246,195.58,4.321138211,"48,111.68",,,
Lost,767,26.07,2.237288136,"19,996.26",,,
Loyal,693,327.66,3.694524496,"227,398.28",,,
New Customer,302,32.60,2.440397351,"9,846.69",,,
Potential,244,26.30,2.31147541,"6,416.51",,,
Grand Total,2472,132.41,2.985038415,"327,457.06",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Customer ID,SUM of Total_Value,COUNTUNIQUE of Invoice,MAX of transaction_date,,,,
12347,78.38,2,22/11/2010,,,,
12351,10.50,1,22/06/2010,,,,
12353,19.80,1,16/06/2010,,,,
12356,39.95,2,22/01/2010,,,,
12357,385.56,1,04/11/2010,,,,
12358,84.60,2,03/08/2010,,,,
12359,12.75,1,15/10/2010,,,,
12360,12.60,1,10/03/2010,,,,
12371,142.40,2,15/09/2010,,,,
12374,23.40,1,13/12/2009,,,,
12377,30.00,1,03/10/2010,,,,
12378,55.45,1,04/10/2010,,,,
12379,10.00,1,28/05/2010,,,,
12380,183.70,2,05/10/2010,,,,
12385,59.80,1,19/05/2010,,,,
12388,10.08,1,25/06/2010,,,,
12389,28.44,2,10/03/2010,,,,
12391,15.70,2,22/11/2010,,,,
12393,31.50,2,03/03/2010,,,,
12395,25.50,1,28/04/2010,,,,
12396,13.20,1,19/08/2010,,,,
12399,10.20,1,05/11/2010,,,,
12402,34.80,1,02/11/2010,,,,
12408,18.95,2,03/10/2010,,,,
12409,290.70,2,10/10/2010,,,,
12412,20.16,1,25/06/2010,,,,
12414,130.00,1,16/12/2009,,,,
12415,449.07,2,01/07/2010,,,,
12416,6.60,1,21/10/2010,,,,
12417,87.20,3,02/11/2010,,,,
12418,35.40,1,29/04/2010,,,,
12419,12.60,1,20/09/2010,,,,
12421,11.70,1,08/01/2010,,,,
12422,-387.70,2,19/11/2010,,,,
12423,27.00,1,05/03/2010,,,,
12425,48.30,1,21/09/2010,,,,
12426,25.20,1,23/11/2010,,,,
12429,85.00,2,24/10/2010,,,,
12431,12.60,1,17/06/2010,,,,
12433,221.40,4,15/11/2010,,,,
12435,310.68,2,25/10/2010,,,,
12437,102.24,3,28/11/2010,,,,
12439,-5.70,2,30/03/2010,,,,
12440,13.60,1,29/07/2010,,,,
12449,226.44,1,01/03/2010,,,,
12450,29.10,2,26/11/2010,,,,
12454,"-1,153.20",1,17/06/2010,,,,
12455,232.25,2,06/05/2010,,,,
12459,22.50,1,25/02/2010,,,,
12468,101.88,1,26/10/2010,,,,
12469,55.50,1,10/10/2010,,,,
12471,288.51,14,26/11/2010,,,,
12472,187.69,7,09/12/2010,,,TOP 5 BEST-SELLING PRODUCTS,
12474,41.98,3,20/09/2010,,,product_name,SUM of quantity
12475,19.50,1,28/11/2010,,,PACK OF 12 WOODLAND TISSUES,"4,485"
12476,130.05,4,16/11/2010,,,GIRLS ALPHABET IRON ON PATCHES,"1,440"
12477,118.76,3,06/12/2010,,,ASSORTED COLOUR BIRD ORNAMENT,"1,304"
12480,12.50,1,17/12/2009,,,SMALL CHINESE STYLE SCISSOR,"1,100"
12481,200.40,2,19/01/2010,,,PACK OF 72 SKULL CAKE CASES,925
12482,378.52,4,20/07/2010,,,,
12483,39.60,1,05/01/2010,,,,
12485,25.20,1,10/12/2009,,,,
12486,30.00,1,18/02/2010,,,,
12490,50.50,3,19/09/2010,,,,
12494,15.00,1,09/02/2010,,,HIGH RETURN RISK,
12497,369.20,1,23/11/2010,,,product_name,SUM of quantity
12499,15.30,1,11/11/2010,,,COLOUR GLASS. STAR T-LIGHT HOLDER,"-1,124"
12504,52.80,1,05/09/2010,,,LOVE GARLAND PAINTED ZINC,-564
12510,34.54,2,29/08/2010,,,FIRST CLASS HOLIDAY PURSE,-300
12511,68.40,1,01/12/2010,,,SILVER DIAMANTE PEN IN GIFT BOX,-87
12523,14.85,1,29/07/2010,,,BEACH HUT PHOTO FRAME,-40
12525,14.85,1,16/08/2010,,,,
12529,12.60,1,18/10/2010,,,,
12530,38.25,2,07/12/2010,,,,
12531,23.70,1,17/05/2010,,,,
12533,58.20,2,22/11/2010,,,,
12537,35.40,1,04/11/2010,,,,
12538,52.20,1,11/05/2010,,,,
12539,30.00,2,19/04/2010,,,,
12540,99.00,2,05/12/2010,,,,
12543,187.40,1,09/12/2010,,,,
12549,4.62,1,01/11/2010,,,,
12553,23.40,1,22/07/2010,,,,
12567,71.51,3,06/12/2010,,,,
12573,29.62,3,17/11/2010,,,,
12577,16.80,1,12/05/2010,,,,
12578,50.40,1,22/11/2010,,,,
12580,11.70,1,17/02/2010,,,,
12582,26.12,2,28/09/2010,,,,
12583,307.00,5,29/10/2010,,,,
12586,10.20,1,21/03/2010,,,,
12589,109.20,4,17/11/2010,,,,
12591,33.30,1,09/11/2010,,,,
12592,10.20,1,28/10/2010,,,,
12594,72.00,1,15/06/2010,,,,
12595,30.00,1,25/11/2010,,,,
12598,54.00,1,19/08/2010,,,,
12599,10.00,1,30/09/2010,,,,
12600,129.90,2,24/11/2010,,,,
12605,19.50,1,15/11/2010,,,,
12609,30.30,2,16/11/2010,,,,
12613,-29.85,1,31/10/2010,,,,
12615,8.50,1,30/09/2010,,,,
12621,157.70,4,26/09/2010,,,,
12623,160.79,2,28/11/2010,,,,
12625,48.00,2,02/12/2010,,,,
12631,11.70,1,07/06/2010,,,,
12632,39.60,1,20/05/2010,,,,
12633,47.70,3,15/11/2010,,,,
12635,43.20,2,08/11/2010,,,,
12637,94.25,2,25/07/2010,,,,
12639,30.00,1,25/08/2010,,,,
12644,52.80,2,13/07/2010,,,,
12645,52.20,2,12/10/2010,,,,
12647,600.45,5,22/10/2010,,,,
