,,,,,,,
Customer_Segment,AVERAGE of SUM of total_line_value,AVERAGE of M_Score,COUNTA of customer_id,SUM of SUM of total_line_value,,,
At Risk,58.10,3.863636364,88,"5,113.18",,,
Champion,123.93,4.15625,128,"15,862.56",,,
Lost,24.88,2.52494577,461,"11,468.90",,,
Loyal,94.13,3.9375,224,"21,085.52",,,
New Customer,23.41,2.56,300,"7,023.06",,,
Potential,22.09,2.417582418,182,"4,020.71",,,
Grand Total,46.69,2.983369487,1383,"64,573.93",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
customer_id,SUM of total_line_value,COUNTUNIQUE of invoice_id,MAX of transaction_date,,,,
12357,81.36,1,11/06/11,,,,
12358,71.40,1,12/08/11,,,,
12359,135.00,2,01/12/11,,,,
12362,16.50,1,10/11/11,,,,
12367,12.60,1,12/05/11,,,,
12371,44.76,1,10/11/11,,,,
12378,32.30,1,08/02/11,,,,
12380,15.00,1,06/07/11,,,,
12381,19.80,1,08/12/11,,,,
12383,13.52,1,01/12/11,,,,
12384,16.50,1,11/11/11,,,,
12388,16.35,1,02/07/11,,,,
12395,38.40,2,11/08/11,,,,
12399,20.80,1,05/10/11,,,,
12406,64.80,1,06/09/11,,,,
12407,2.88,1,07/06/11,,,,
12410,22.50,1,02/04/11,,,,
12415,507.60,2,10/05/11,,,,
12417,13.00,1,06/05/11,,,,
12420,31.47,1,10/07/11,,,,
12423,10.08,1,04/07/11,,,,
12427,12.48,1,10/10/11,,,,
12428,83.20,3,07/05/11,,,,
12433,131.70,3,12/09/11,,,,
12437,89.88,2,11/03/11,,,,
12449,49.00,2,09/09/11,,,,
12451,84.75,2,10/05/11,,,,
12461,10.20,1,07/08/11,,,,
12468,17.40,1,06/05/11,,,,
12471,17.76,3,04/04/11,,,,
12472,20.35,2,07/07/11,,,,
12473,25.20,1,06/01/11,,,,
12474,39.00,1,09/02/11,,,,
12477,63.75,1,02/11/11,,,,
12478,5.04,1,12/06/11,,,,
12484,9.43,2,01/07/11,,,,
12490,42.60,2,09/07/11,,,TOP 5 BEST-SELLING PRODUCTS,
12501,45.60,1,01/07/11,,,product_name,SUM of quantity
12502,34.00,1,09/05/11,,,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2160
12517,38.39,2,11/11/11,,,FANCY FONTS BIRTHDAY WRAP,1650
12520,16.50,1,03/11/11,,,JUMBO BAG RED RETROSPOT,1351
12526,9.96,1,09/06/11,,,PACK OF 60 DINOSAUR CAKE CASES,1126
